,Information Ratio,MaxDrawDown
RealizedReturns10Factor,0.6922867560289405,[-2.28923202]
RealizedReturnsCTEF,-0.07087326695442515,[-19.16802269]
RealizedReturnsKNN,0.23889353414758416,[-10.39567958]
RealizedReturnsNN,0.3520371615080127,[-20.13390477]
